Year,Enthusiasm,Knowledge Increment,Understanding,Map and Territory Risk,
1,0,2.12132034355964,0,0,
2,8,1.5,2.12132034355964,5.87867965644036,
3,10,1.06066017177982,3.62132034355964,6.37867965644036,
4,8,0.75,4.68198051533946,3.31801948466054,
5,4,0.530330085889911,5.43198051533946,-1.43198051533946,
6,3,0.375,5.96231060122937,-2.96231060122937,
7,4,0.265165042944955,6.33731060122937,-2.33731060122937,
8,5.7,0.1875,6.60247564417433,-0.90247564417433,
9,6,0.132582521472478,6.78997564417433,-0.78997564417433,
10,6,0.09375,6.92255816564681,-0.922558165646808,
11,6,0.0662912607362388,7.01630816564681,-1.01630816564681,
